river,riverLabel,country,countryLabel,length,source,sourceLabel,mouth,mouthLabel
http://www.wikidata.org/entity/Q7124470,Q7124470,http://www.wikidata.org/entity/Q252,Индонезия,136250,http://www.wikidata.org/entity/Q24982897,Q24982897,http://www.wikidata.org/entity/Q1507546,Томини
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q79,Египет,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q115,Эфиопия,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q958,Южный Судан,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q967,Бурунди,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1036,Уганда,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1037,Руанда,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1049,Судан,6650,http://www.wikidata.org/entity/Q882739,Голубой Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q79,Египет,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q115,Эфиопия,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q958,Южный Судан,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q967,Бурунди,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1036,Уганда,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1037,Руанда,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,http://www.wikidata.org/entity/Q1049,Судан,6650,http://www.wikidata.org/entity/Q4814791,Белый Нил,http://www.wikidata.org/entity/Q4918,Средиземное море
http://www.wikidata.org/entity/Q3783,Амазонка,http://www.wikidata.org/entity/Q155,Бразилия,6400,http://www.wikidata.org/entity/Q200174,Мараньон,http://www.wikidata.org/entity/Q97,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,http://www.wikidata.org/entity/Q155,Бразилия,6400,http://www.wikidata.org/entity/Q200952,Укаяли,http://www.wikidata.org/entity/Q97,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,http://www.wikidata.org/entity/Q419,Перу,6400,http://www.wikidata.org/entity/Q200174,Мараньон,http://www.wikidata.org/entity/Q97,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,http://www.wikidata.org/entity/Q419,Перу,6400,http://www.wikidata.org/entity/Q200952,Укаяли,http://www.wikidata.org/entity/Q97,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,http://www.wikidata.org/entity/Q739,Колумбия,6400,http://www.wikidata.org/entity/Q200174,Мараньон,http://www.wikidata.org/entity/Q97,Атлантический океан
